Crawling_date,Crawling_time1,Upload_date,Upload_time1,frequency,hd,id,img,length,name,rating,video_url
20171210,20171210 18:11:35,20171210,today,10858,No-HD,13446,http://www.yjizz.tv/media/videos/tmb/000/013/446/5.jpg,08:21,老公不在家的极品骚女人妻露脸口交 骑乘鸡巴上把我一顿操,22,/13446/老公不在家的极品骚女人妻露脸口交-骑乘鸡巴上把我一顿操/
20171210,20171210 18:11:35,20171210,today,43982,No-HD,13425,http://www.yjizz.tv/media/videos/tmb/000/013/425/3.jpg,08:54,熟睡的小姨子被我弄得不要不要,66,/13425/熟睡的小姨子被我弄得不要不要/
20171210,20171210 18:11:35,20171210,today,11100,No-HD,13403,http://www.yjizz.tv/media/videos/tmb/000/013/403/1.jpg,18:48,对白精彩呻吟给力的性感黑丝开裆高跟开房情趣自拍,63,/13403/对白精彩呻吟给力的性感黑丝开裆高跟开房情趣自拍/
20171210,20171210 18:11:35,20171210,today,15990,No-HD,13394,http://www.yjizz.tv/media/videos/tmb/000/013/394/4.jpg,10:47,地产销售美女被副总带到酒店啪啪,41,/13394/地产销售美女被副总带到酒店啪啪/
20171210,20171210 18:11:35,20171210,today,16711,No-HD,13378,http://www.yjizz.tv/media/videos/tmb/000/013/378/1.jpg,10:22,一盏茶的时间 两个狐狸精就把单男的鸡儿弄彪了,41,/13378/一盏茶的时间-两个狐狸精就把单男的鸡儿弄彪了/
20171210,20171210 18:11:35,20171210,today,12567,No-HD,13349,http://www.yjizz.tv/media/videos/tmb/000/013/349/1.jpg,07:00,酒店和白嫩的大奶纹身南京少妇享受爱爱,55,/13349/酒店和白嫩的大奶纹身南京少妇享受爱爱/
20171210,20171210 18:11:35,20171210,today,5756,No-HD,13348,http://www.yjizz.tv/media/videos/tmb/000/013/348/1.jpg,09:20,泡酒吧认识的淫水超多的武汉外围女 屁股真翘指奸内,50,/13348/泡酒吧认识的淫水超多的武汉外围女-屁股真翘指奸内/
20171210,20171210 18:11:35,20171210,today,18065,No-HD,13326,http://www.yjizz.tv/media/videos/tmb/000/013/326/9.jpg,10:47,"小情人秘书寂寞难耐主动引诱我 黑丝情趣服超性感,奶子又大又粉嫩",57,/13326/小情人秘书寂寞难耐主动引诱我-黑丝情趣服超性感-奶子又大又粉嫩/
20171210,20171210 18:11:35,20171210,today,12391,No-HD,13324,http://www.yjizz.tv/media/videos/tmb/000/013/324/5.jpg,17:16,大奶魅心销魂自渎诱惑大家飞机撸点满满的,72,/13324/大奶魅心销魂自渎诱惑大家飞机撸点满满的/
20171210,20171210 18:11:35,20171210,today,14034,No-HD,13303,http://www.yjizz.tv/media/videos/tmb/000/013/303/3.jpg,08:07,对方老公有事4p交换变双飞,79,/13303/对方老公有事4p交换变双飞/
20171210,20171210 18:11:35,20171210,today,5646,No-HD,13301,http://www.yjizz.tv/media/videos/tmb/000/013/301/1.jpg,08:13,极品披肩美腿骚妹玩转换装体验性爱情趣,80,/13301/极品披肩美腿骚妹玩转换装体验性爱情趣/
20171210,20171210 18:11:35,20171210,today,14531,HD,13272,http://www.yjizz.tv/media/videos/tmb/000/013/272/1.jpg,01:25,19岁女友喝酒以后射了还不够满足,58,/13272/19岁女友喝酒以后射了还不够满足/
20171210,20171210 18:11:35,20171210,today,9440,No-HD,13265,http://www.yjizz.tv/media/videos/tmb/000/013/265/5.jpg,10:41,放蕩的豪乳美眉情趣制服誘惑自慰挑逗網友,81,/13265/放蕩的豪乳美眉情趣制服誘惑自慰挑逗網友/
20171210,20171210 18:11:35,20171210,today,6796,No-HD,13259,http://www.yjizz.tv/media/videos/tmb/000/013/259/1.jpg,10:30,人家害羞嘛黑丝高跟制服兼职妹子酒店挑逗嫖客波哥草她,50,/13259/人家害羞嘛黑丝高跟制服兼职妹子酒店挑逗嫖客波哥草她/
20171210,20171210 18:11:35,20171210,today,12841,No-HD,13230,http://www.yjizz.tv/media/videos/tmb/000/013/230/1.jpg,09:17,白嫩大胸萌妹子自摸 不信你不射,55,/13230/白嫩大胸萌妹子自摸-不信你不射/
20171210,20171210 18:11:35,20171210,today,18285,No-HD,13170,http://www.yjizz.tv/media/videos/tmb/000/013/170/1.jpg,29:52,广州少妇性欲旺盛 趁老公上班和大鸡巴外企高管偷情,56,/13170/广州少妇性欲旺盛-趁老公上班和大鸡巴外企高管偷情/
20171210,20171210 18:11:35,20171210,today,11607,No-HD,13162,http://www.yjizz.tv/media/videos/tmb/000/013/162/6.jpg,10:10,屌哥出租车司机勾搭上黑丝美少妇乘客 连续4小时爆操版国语对白,73,/13162/屌哥出租车司机勾搭上黑丝美少妇乘客-连续4小时爆操版国语对白/
20171210,20171210 18:11:35,20171210,today,8195,No-HD,13161,http://www.yjizz.tv/media/videos/tmb/000/013/161/1.jpg,06:45,白城浪鲸卫浴店长为了业绩很拼 每天上门为客户提供全活性服务,29,/13161/白城浪鲸卫浴店长为了业绩很拼-每天上门为客户提供全活性服务/
20171210,20171210 18:11:35,20171210,today,4960,No-HD,13159,http://www.yjizz.tv/media/videos/tmb/000/013/159/1.jpg,08:13,96年前女友露脸刚教会口交 羞得突然笑起来,67,/13159/96年前女友露脸刚教会口交-羞得突然笑起来/
20171210,20171210 18:11:35,20171210,today,11851,No-HD,13140,http://www.yjizz.tv/media/videos/tmb/000/013/140/11.jpg,03:16,无套内射大奶极品小表妹 叫的越淫荡表哥的鸡巴越硬,43,/13140/无套内射大奶极品小表妹-叫的越淫荡表哥的鸡巴越硬/
20171210,20171210 18:11:35,20171210,today,5447,No-HD,13127,http://www.yjizz.tv/media/videos/tmb/000/013/127/2.jpg,18:16,酒店与性感极品丝袜纯天然大奶美女玩角色诱惑咪咪又大又圆各种姿势操B,71,/13127/酒店与性感极品丝袜纯天然大奶美女玩角色诱惑咪咪又大又圆各种姿势操b/
20171210,20171210 18:11:35,20171210,today,13777,No-HD,13124,http://www.yjizz.tv/media/videos/tmb/000/013/124/17.jpg,15:12,河北廊坊骚妻和老公一起约单男干她,85,/13124/河北廊坊骚妻和老公一起约单男干她/
20171210,20171210 18:11:35,20171210,today,4597,HD,13116,http://www.yjizz.tv/media/videos/tmb/000/013/116/6.jpg,23:25,大黄鸭之性感蕾丝情趣内衣肉丝趴着屁股做俯卧撑插,33,/13116/大黄鸭之性感蕾丝情趣内衣肉丝趴着屁股做俯卧撑插/
20171210,20171210 18:11:35,20171210,today,3814,No-HD,13114,http://www.yjizz.tv/media/videos/tmb/000/013/114/1.jpg,22:30,打炮前舔一舔赛过活神仙,100,/13114/打炮前舔一舔赛过活神仙/
20171210,20171210 18:11:35,20171210,today,17772,HD,13113,http://www.yjizz.tv/media/videos/tmb/000/013/113/1.jpg,07:19,保险销售经理酒店上门给大款客户提供贴心服务,57,/13113/保险销售经理酒店上门给大款客户提供贴心服务/
20171210,20171210 18:11:35,20171210,today,23458,HD,13112,http://www.yjizz.tv/media/videos/tmb/000/013/112/5.jpg,05:20,洞穴式性爱也许是捷克历史上最不可思议的发明,88,/13112/洞穴式性爱也许是捷克历史上最不可思议的发明/
20171210,20171210 18:11:35,20171210,today,9041,No-HD,13095,http://www.yjizz.tv/media/videos/tmb/000/013/095/3.jpg,16:57,大二美女班花倩倩带到宾馆吃鸡巴干了好几个月真爽,36,/13095/大二美女班花倩倩带到宾馆吃鸡巴干了好几个月真爽/
20171210,20171210 18:11:35,20171210,today,9125,No-HD,13065,http://www.yjizz.tv/media/videos/tmb/000/013/065/1.jpg,09:53,第一次玩弄别人的老婆好刺激噢,7,/13065/第一次玩弄别人的老婆好刺激噢/
20171210,20171210 18:11:35,20171209,1 天 之前,29422,No-HD,13251,http://www.yjizz.tv/media/videos/tmb/000/013/251/1.jpg,06:42,极品身材的 奶味骨頭 應該是在超市廁所脫褲子自慰,68,/13251/极品身材的-奶味骨頭-應該是在超市廁所脫褲子自慰/
20171210,20171210 18:11:35,20171209,1 天 之前,26895,No-HD,13234,http://www.yjizz.tv/media/videos/tmb/000/013/234/2.jpg,11:26,少妇厕所里面偷偷自慰高潮喷尿,62,/13234/少妇厕所里面偷偷自慰高潮喷尿/
20171210,20171210 18:11:35,20171209,1 天 之前,30344,No-HD,13233,http://www.yjizz.tv/media/videos/tmb/000/013/233/2.jpg,07:11,超嫩的98后害羞女友趴在床上被猛插,61,/13233/超嫩的98后害羞女友趴在床上被猛插/
20171210,20171210 18:11:35,20171209,1 天 之前,29834,No-HD,13215,http://www.yjizz.tv/media/videos/tmb/000/013/215/6.jpg,13:45,长沙某足交俱乐部请来的19岁情趣装少女用脚撸完再操到尿喷,68,/13215/长沙某足交俱乐部请来的19岁情趣装少女用脚撸完再操到尿喷/
20171210,20171210 18:11:35,20171209,1 天 之前,34584,No-HD,13214,http://www.yjizz.tv/media/videos/tmb/000/013/214/3.jpg,06:55,中年大叔和朋友老婆在小树林玩野战换妻旁边几个观摩者在不停笑,54,/13214/中年大叔和朋友老婆在小树林玩野战换妻旁边几个观摩者在不停笑/
